,AGEN,CPLP,PAGP,MDWD,TATT,PCYO,WERN,PMGM,MRCC,EQBK,LYFT,CPOP,EDTK,NTRS,BWC,VWE,IMKTA,PLMR,PT,MDXH,OXSQ,UBOH,IBRX,MYMD,OFIX,CTXR,CLOE,EDIT,HCARU,VRM,CYN,SCRMU,SCVL,BRKL,VERB,ARDS,AROW,FKWL,EBTC,TWCBU,MPRA,ARHS,HSKA,CLAY,ALRM,RNA,PRFT,CBSH,TTCF,NSTG,DGLY,ONB,MRNA,RARE,THMO,SRAD,HAFC,OHAAU,CCOI,CNDT,RPD,ECPG,GLTO,CDXC,UTAAU,PRVA,LGVC,ITIC,CERS,TENB,SYNH,DAKT,SHBI,PETV,HQY,COHR,UNAM,SDAC,UAL,VSTA,NTGR,BTCS,EA,CELU,XOS,TRST,EXLS
2019-3,1.3026313560202478,0.5457976362905438,,,1.7074860946109474,2.969879474378943,3.13717616995308,,,,1.0,,,1.9633665405525884,,,2.7045980101859763,,,,6.659542228281568,3.0638130094171894,,0.024298597477649335,3.534461134873629,,,,,,,,7.328652598814856,2.1076976273265897,,,2.5466266122479713,6.08695630765818,3.810553493739418,,,,32.440869739363876,,,,7.005114779640566,2.86952711667842,,,0.15448505104438742,1.772283037567908,,1.6416568191799186,0.004707792207792208,,1.6058634104548004,,10.471708402213489,,,5.176805771361125,,0.9311111238267686,,,,5.341773556890477,6.627659611569211,,,1.333349553345814,0.9806320801405481,,,3.9553905288744526,0.9446358303184053,,8.451271432795709,,4.801208512843214,,6.582253460607414,,,1.782493336118907,7.549685773302133
2019-4,1.1271925968903658,0.569233661130408,,,1.7636534814075118,3.0271085520530603,3.0853477041123005,,,,0.7638267791257664,,,2.1401369104213863,,,2.704441387831863,1.0,,,6.678781930636455,3.058509551893004,,0.020541082116453634,3.432957442642256,,,,,,,,7.698550293616686,2.202836773396044,,,2.605472181250528,5.65217360318947,4.20845323286981,,,,29.597720646950705,,,,7.529411736011004,2.9866600714555473,,,0.20058138963843325,1.8457678927132235,,1.5621301775147929,0.004383116883116883,,1.7908362971986216,,10.66087374813977,,,5.372623383875652,,0.9888888465033637,,,,5.714582120751295,6.521276734030695,,,1.3566161034223256,1.041140500212355,,,4.231545439618539,0.9619541748946577,,9.413136076298798,,4.498233944893882,,6.130181724139963,,,1.8376220861427186,7.471698484401546
2019-5,1.1184207708180491,0.5411381745136634,,,1.6709773132801746,2.837349477622728,2.8853269156142534,,,,0.7359815845966726,,,1.857173972537037,,,2.9369541765204943,1.1611612259497939,,,6.560441005806795,3.0010875317364207,,0.014829659245228905,3.0908522376659167,,,,,,,,5.546151891776755,2.115401485666908,,,2.4908779784018185,5.65217360318947,3.738649422650463,,,,26.716457305564226,,,,7.78260860286167,2.8334481924999526,,,0.11046511646327635,1.7364815719958302,,1.3001183504183618,0.004058441558441558,,1.572695185187591,,11.410893264105411,,,6.528516855195621,,0.884444448682997,,,,5.223707575517439,4.989361775655345,,,1.1114229349742344,1.015920535549942,,,3.33829000876489,0.990293222777962,,8.225636120497159,,3.653093662095573,,6.028498079638651,,,1.695206408817902,7.454088018023605
2019-6,1.3157893615196214,0.5636856744664257,,,1.6035766098202502,3.1927712634368084,3.2259090615497157,,,,0.8393153444380701,,,1.967878622017957,,,3.0670041871822553,1.2032032765920968,,,6.765774509581238,2.6903086526160687,,0.011272545088185568,3.3132832670252825,,,,,,,,5.958497592936471,2.2672387627024455,,,2.7110054504972743,5.326086963563876,4.227980587684049,,,,32.45992395614157,,,,8.777493335408165,2.961642385817622,,,0.060215946080712277,1.8072914575144965,,1.5029585798816567,0.004561688201596039,,1.698541309894552,,11.578643579947732,,,6.439163014843595,,1.0333333545260959,,,,5.664282274287802,5.978723297673904,,,1.1136699356162472,1.0814424668414686,,,3.8831653235711117,0.9682517410909476,,9.274365142313167,,3.6661404468992456,,6.558290300842606,,,1.83582395466302,8.318238847798254
2019-7,1.0570174555300353,0.6162963556601517,,,1.5417924977353588,3.2740964169062043,3.440763236622864,,,,0.7774939100787819,,,2.1428015758146866,,,3.1175671695874896,1.4339339476943516,,,7.154683653024863,2.9197243120683587,,0.010521041816866122,3.348997533532916,,,,,,,,5.4957163271280765,2.1861604190450894,,,2.596258120404712,4.717391384628183,4.073314351920899,,,,30.54289470422603,,,,8.739129774644447,3.0197232462253,,,0.04775747447780629,1.9184090898830188,,1.4262721496220876,0.004837662557846884,,1.6390504394429586,,12.290604082118664,,,6.840303797835558,,1.028888914320204,,,,5.565922896720951,6.223404169649276,,,1.1443545849876204,1.0854133974862614,,,4.216675615910023,0.9965907889742518,,9.736229634279017,,4.907032188253497,,5.990932417804107,,,1.8775473919650776,8.652830511436955
2019-8,1.2631575526348457,0.5812450033913412,,,1.3985659359263722,3.2680724697702113,3.3919792864971288,,,,0.6254949629332659,,,1.9226174925210873,,,3.8504134218650723,1.7032031811292,,,6.647739111005231,2.600326704465942,,0.010771542575505427,3.185463661094743,,,,,,,,6.656356356280632,2.0862003843249965,,,2.510392832920982,5.804347886649331,3.8795557165349592,,,,26.75075954809841,,,,9.421994717107825,2.8330696362941596,,,0.05024917038256407,1.844321876487332,,1.2892307981231508,0.0052110388509466875,,1.3826863200878783,,12.000634904352562,,,7.015209110308929,,0.8688889079623752,,,,5.00651921555596,5.712765850190827,,,1.3049973241387018,1.0232703812434334,,,3.984067814499557,0.9304662688402977,,8.931144206170657,,5.0331512923536295,,6.067357569489639,1.0,,1.7778750716041272,8.515723090878927
2019-9,1.1315787763174228,0.5906287566189794,,,1.3592488589080831,3.0963855239991642,3.6639177706736104,,,,0.5216502704688057,,,2.05524699456327,,,3.8484329578407737,1.9729729265315639,,,6.795900750451501,2.688974678753287,,0.011022044329546263,3.3220551585862985,,,,,,,,7.0179734110446645,2.188727825963283,,,2.7064787847271683,4.84782604047842,4.020362441330004,,,,27.009920739488543,,,,9.867007924338262,3.024662301795524,,,0.053156146297820506,1.8882346245977446,,1.0125443498058433,0.01076298723317156,,1.4498521856590516,,10.859499846753069,,,6.336501973525567,,0.8755555682712131,,,,5.445270338479987,5.489361553723157,,,1.3423622385415528,1.0266013105131113,,,3.739776869584049,1.023355482844939,,9.365466905933864,,4.6707412178003755,,6.335492012719047,1.015306083225599,,1.9061696811965143,8.42264159634768
2019-10,1.13596495574448,0.6567812816207549,,,1.4687750689871073,3.3674700391501986,3.798585619819165,,,,0.5293140649138777,,,2.1953173212655046,,,3.921450930551794,2.2597598879036482,,,5.637325757859879,2.836721111191329,,0.009719438991059733,2.6334585638369927,,,,,,,,7.205929588407104,2.3328596070727654,,,2.846706958800626,5.195652307713638,3.9975650576062733,,,,30.87827857814486,,,,10.025575422618264,3.20968292854111,,,0.05066445039306273,1.9760595267769034,,0.9500591571514423,0.008344155954248117,,1.4861367003162103,,11.557190591169384,,,6.309885395910804,,0.6422222455342611,,,,5.159571909101077,4.627659484750818,,,1.2460899412033364,1.0399250992123887,,,3.520977340434788,1.061140880022678,,9.622881395742834,,3.938672701304637,,6.243522362743673,1.0051020601797676,,2.0207739668368925,8.75849043068773
2019-11,1.837718926700413,0.6545125036568497,,,1.5249423218703777,3.740963953623564,3.8256436321935747,,,,0.6256226717264232,,,2.3618161179622748,,,4.419712797210149,2.7312312785326665,,,5.864537983981001,3.0263509355973666,,0.008036906805189186,2.8446116176294227,,,,,,,,7.707456001805176,2.402142093150626,,,2.906688674032099,5.152173570795642,4.298960128837901,,,,36.39688627986626,,,,10.813298683167265,3.342838904170023,,,0.04900332243018518,1.9991053732494484,,0.9384615745770155,0.005275974025974026,,1.53460619709103,,12.48030446488013,,,6.933460006418264,,0.8088889122009277,,,,5.738678789337665,4.617021450633753,,,1.1189379135827706,1.1234961292665266,,,3.1003718164978666,0.9839956565816721,,9.830509234830895,,3.6400468772919004,,6.5420981360272785,1.0132653175419142,,2.053518197155113,8.781131979051793
2019-12,1.7850875440410754,0.7622747331721388,,,1.418224541392164,3.7921687969103823,3.787137317713047,,,,0.5494954649978995,,,2.355014421770243,,,4.725034860309233,2.527027168931333,,,6.1526961476963775,3.0682334663814617,,0.00334001335024571,2.89348372147858,,,,,,,,8.093915841230528,2.463505214605201,,,3.0863158001432445,5.195652307713638,4.565876168257979,,,,36.56457967068015,,,,11.7826083589552,3.4014146282228244,,,0.042358802657792065,2.022325273930434,,1.0108875522952108,0.007142857142857143,,1.5635317900834647,,13.10352476979916,,,6.722433283594808,,0.9577777650621202,,,,5.701076560053645,4.48936149031396,,,1.1150867184455304,1.165107391457242,,,3.576207998445759,0.9918676518634898,,9.331567823471643,,3.5530684040997307,,6.963082380949574,1.015306083225599,,2.0438577945939262,8.737107012697304
