,0
GTBP_HQI,59.664821443120715
CGEN_HQI,47.17898990730069
HQI_LIFE,46.89210855076555
FIVE_HQI,43.87626436441547
DAKT_HQI,43.2497265216807
AEHL_HQI,42.637655838801884
HQI_USAU,42.4863106350528
AGNC_HQI,42.41627605823284
APDN_HQI,41.24887224349355
CDXC_HQI,40.45914499602998
HQI_OFIX,40.315932773379636
CLMT_HQI,39.8917421799716
AZN_HQI,39.8029717032457
HQI_STRA,39.70113988398502
HQI_NXGN,39.30656322807322
HQI_JVA,39.11812381784498
HQI_VLGEA,37.77346872342818
GURE_HQI,37.7165749803801
HQI_SCOR,37.58357239204426
HQI_TATT,37.57526203234105
HALL_HQI,37.534855079652196
CPLP_HQI,37.19745279592069
HQI_LIVN,37.07327154781044
HBIO_HQI,36.76993844160086
ARAY_HQI,35.73985967046625
DGLY_HQI,35.39809723072659
FANH_HQI,34.95315055886165
HQI_MSTR,34.88886563276298
EXTR_HQI,34.84481542978766
HQI_IDN,34.5858369275525
HQI_MHLD,34.39506575672942
HQI_RRGB,34.37847109560911
HQI_ORRF,34.09376251680305
HQI_SYPR,34.06844512110061
GVP_HQI,33.96598960396008
BLKB_HQI,33.6993882885491
HQI_RDI,33.6450800752341
CONN_HQI,33.55886446565017
HQI_ITRI,33.48329904473239
HQI_IEP,33.42757052575094
HQI_WILC,33.22783464665786
HQI_MTSI,33.13830294089099
HQI_SOHO,33.08088498903862
HQI_POAI,32.827698689651996
GEOS_HQI,32.54977583682899
HQI_TCX,32.49520174556917
HQI_STGW,32.41109649501962
CRESY_HQI,32.35802330553097
HQI_PSEC,32.312791208739526
HQI_PSTV,32.269348650753884
HQI_KDP,32.216080879785544
FKWL_HQI,32.1678674548149
BOOM_HQI,32.129205265234326
ESLT_HQI,31.905902652257573
HQI_STKL,31.76438730400679
BECN_HQI,31.632105922584874
GLBS_HQI,31.6130086527175
CALM_HQI,31.577564644719693
BOSC_GTBP,31.148862938757105
HQI_REED,31.126990803550108
CHEF_HQI,31.12035028196454
ANTE_HQI,31.117040118974213
ATEC_HQI,30.940710889853868
HQI_SMTC,30.821973812680504
HQI_PLCE,30.718235532025457
CWCO_HQI,30.698895366122812
ALLT_HQI,30.473605427720965
HQI_SHBI,30.45175129815919
HQI_SGRP,30.296498430584375
HQI_WDC,30.13263296808154
FARO_HQI,30.050826298458894
BGFV_HQI,29.85093823224879
GTBP_HBAN,29.803946815086356
BFIN_HQI,29.792934736432297
GTBP_RIOT,29.74462347725749
GTBP_HAFC,29.71291757066124
HQI_TREE,29.666436138507024
HQI_MDLZ,29.597304006203192
HQI_VC,29.525109540307657
GTBP_PCRX,29.405621869898166
CFBK_GTBP,29.394223518966868
FCCO_GTBP,29.35584498319375
ARKR_HQI,29.235023564455215
GTBP_NEPH,28.81413850348951
HQI_UAL,28.76833170061675
GTBP_MVIS,28.731273705247617
GTBP_UTSI,28.724974869469776
HQI_PCTI,28.70289214436019
HQI_NTGR,28.59644467229817
HQI_SMIT,28.4072884351827
HQI_TTMI,28.33817665393315
HQI_OCC,28.118733505758627
DLTR_HQI,27.900622642768067
HQI_URBN,27.570981788982433
AACG_HQI,27.491108231936906
COHR_HQI,27.263574729149756
HQI_SHEN,27.034184055649995
HQI_TBBK,27.026870785512617
HAIN_HQI,27.022459002024185
HQI_VICR,26.994338206285313
CAR_HQI,26.902085611231705
GTBP_JAKK,26.868532830738403
CDZI_HQI,26.657230161005998
ELTK_HQI,26.5974860748228
HQI_PCYO,26.28821413248614
AOSL_HQI,26.203836823229754
HQI_IESC,26.00564284748939
HQI_RICK,25.82426789114366
AEP_HQI,25.79711162346657
BOSC_LIFE,25.5949388269281
HQI_NATH,25.409447466334676
GTBP_STCN,25.126616640977396
FEIM_HQI,25.09090744489525
HQI_NWFL,24.972924221827874
HQI_RCON,24.439250671408573
HBAN_LIFE,24.122186491344312
GTBP_MTCH,23.957406848714577
HAFC_LIFE,23.937060953604
HQI_TTWO,23.8172350284831
HQI_SCVL,23.786019625966325
FCCO_LIFE,23.61448963268997
GTBP_INVO,23.587134968885437
LIFE_RIOT,23.539144252716508
GTBP_IRWD,23.447873210439443
BOSC_CGEN,23.237755767304275
HQI_WIRE,23.16512567430898
CFBK_LIFE,23.149340453613807
LIFE_PCRX,23.143591842556287
EXEL_HQI,23.138637437240458
GTBP_HOLI,23.11163639166339
EFSC_GTBP,23.024393157664434
LIFE_UTSI,23.021491123367763
HQI_RELL,23.01314477711869
GTBP_PWOD,22.787740849611115
HQI_SNFCA,22.78348525944816
GTBP_LNT,22.718183665965128
GLBZ_HQI,22.654753693006406
CROX_HQI,22.598810399601717
HQI_STRT,22.540641058876368
AXTI_HQI,22.477254293651832
HQI_SMCI,22.445796419858468
HQI_NVEC,22.436348318583587
CGEN_HBAN,22.373868822390335
GTBP_THMO,22.281274166208313
CGEN_HAFC,22.26928344424518
LIFE_MVIS,22.223362914387458
BOSC_FIVE,22.14762571049034
DORM_GTBP,22.11704742715698
GTBP_LOPE,22.05978249457201
JAKK_LIFE,22.02051192379745
COHU_HQI,21.9702171078062
LIFE_NEPH,21.93471113727701
CGEN_FCCO,21.842860245694453
CPHC_HQI,21.82859518548103
CGEN_PCRX,21.79199883527536
GTBP_NDSN,21.77331711099432
CGEN_UTSI,21.71870716722181
HQI_SBAC,21.67203956197641
CGEN_RIOT,21.441974576609127
GTBP_ONB,21.3045284317289
HQI_RBCAA,21.24042208373272
HQI_NVDA,21.228395668031308
CYRX_GTBP,21.082749624679344
FIVE_HAFC,21.0790823992153
