,method 2
0,0.05907865887030776
1,0.05802209446327187
2,0.0057078583533367415
3,0.03295384340544287
4,0.13042601592627664
5,0.015507998114849514
6,0.005014435206240828
7,0.019365442054852938
8,0.0863610441058341
9,0.032471323782424635
10,0.014285067001684512
11,0.12369198360365145
12,0.020941697491397064
13,0.01351928247761014
14,0.003764818200081165
15,0.07299408475211076
16,0.000591525621416136
17,0.0035202109002238882
18,0.002004449780030548
19,0.01173260610647145
20,0.03836590977353576
