,distance ebtda-margin and price,distance gross-profit-margin and price,distance cogs-margin and price,distance eps-earnings-per-share-diluted and price,distance all-fundamental-variables and price,price-pairs
CCOI_ESLT,0.9511915893158482,,,,,
GOOGL_WERN,0.9511026628235014,,,,,
EXLS_NSIT,0.9509856601186634,,,,,
FELE_PSEC,0.9509738281933185,,,,,
OFLX_SBUX,0.9509400259907744,,,,,
AUB_EBTC,0.9508610339687938,,,,,
CCOI_FELE,0.9505003919935278,,,,,
FELE_LMAT,0.9502205621100469,,,,,
FNLC_LARK,0.9501061501988155,,,,,
ITIC_UBOH,0.950043199220205,,,,,
SBUX_THRM,0.95004018713173,,,,,
AROW_ONB,0.9499174574612163,,,,,
NSIT_PLXS,0.949748362414498,,,,,
CBSH_CIVB,0.9495579467551628,,,,,
HSKA_UBOH,0.9495080115149741,,,,,
CBSH_NTRS,0.948719332214352,,,,,
EBTC_PEBO,0.9483625477327559,,,,,
CIVB_HBNC,0.9482787364144633,,,,,
GOOGL_SBUX,0.9482500414246462,,,,,
HBNC_LARK,0.9481216846952729,,,,,
BOKF_ONB,0.9477313516815299,,,,,
DHIL_LARK,0.9477045086062298,,,,,
EBTC_ONB,0.9476774494607227,,,,,
PLXS_SBUX,0.9475587351920782,,,,,
INTU_WERN,0.947558661708139,,,,,
CGO_CHI,0.9475397631615127,0.9475397631615127,0.9475397631615127,0.9475397631615127,0.9475397631615127,0.9475397631615127
INTU_NFLX,0.947357000431539,,,,,
EBTC_EFSC,0.9472899212846533,,,,,
GOOGL_LMAT,0.9472264927927831,,,,,
ITIC_PEBO,0.9472023257711892,,,,,
PFC_TRMK,0.946983959423829,,,,,
GOOGL_NFLX,0.9463304733413083,,,,,
SHEN_TCX,0.9460348201020105,,,,,
BRKL_HBNC,0.9459920028979049,,,,,
AUB_ITIC,0.9458319850842486,,,,,
CBSH_SBUX,0.9457935099423619,,,,,
LARK_NTRS,0.9455724742812175,,,,,
CCOI_GOOGL,0.9455212116381909,,,,,
AUB_TRMK,0.9454956782020206,,,,,
CSWC_PSEC,0.9449292840464517,,,,,
ITIC_NTRS,0.9448441615102814,,,,,
FELE_SLM,0.9448284639710272,,,,,
ESLT_NSIT,0.9447799614126637,,,,,
GOOGL_NSIT,0.9445069783795377,,,,,
HBNC_UBOH,0.944203624872997,,,,,
CHI_PLXS,0.9441566447952287,,,,,
GOOGL_SCVL,0.9441162204385503,,,,,
ITIC_ONB,0.9439513703377667,,,,,
AEHL_THMO,0.9438330721578049,,,,,
CALM_NATH,0.9436097634982072,,,,,
AROW_HFWA,0.9428974998395427,,,,,
EBTC_ITIC,0.9426076114671709,,,,,
EBTC_NTRS,0.942307652513037,,,,,
EA_ESLT,0.9423028603722589,,,,,
AUB_TRST,0.942282027726878,,,,,
CGO_HSKA,0.9421275411675275,0.9421275411675275,0.9421275411675275,0.9421275411675275,0.9421275411675275,0.9421275411675275
FELE_LKQ,0.9418616808027905,,,,,
PRFT_PSEC,0.9418176023000719,,,,,
EXLS_FELE,0.9417525761011162,,,,,
LARK_PEBO,0.9417036931632281,,,,,
EA_LMAT,0.9416425928983188,,,,,
CCOI_LMAT,0.9414447273635643,,,,,
BRKL_EBTC,0.9413175005956607,,,,,
BOKF_EBTC,0.940900045820932,,,,,
INTU_SBUX,0.9408515231921937,,,,,
NSIT_NVDA,0.9407956882755784,,,,,
CBSH_ITIC,0.9407955196372927,,,,,
NATH_PEBO,0.9407169146097629,,,,,
AUB_BRKL,0.9404709735866582,,,,,
AROW_NTRS,0.9403873908839488,,,,,
BOKF_ITIC,0.9400762566141289,,,,,
CBSH_CCOI,0.9398462635716869,,,,,
CHI_OFLX,0.9398276733326748,,,,,
HBNC_PEBO,0.9398089967826108,,,,,
AUB_UBOH,0.9396192646334252,,,,,
FCCO_NATH,0.9393648609921957,,,,,
INTU_VICR,0.9391178335097293,,,,,
PSEC_SCVL,0.9390882898311591,,,,,
MTCH_SMTC,0.9390234381622672,,,,,
PLXS_PSEC,0.9387454392671397,,,,,
HBNC_ONB,0.9385864350901075,,,,,
BOKF_PLXS,0.9385307998650355,,,,,
CCOI_EA,0.938499282144587,,,,,
LKQ_PSEC,0.9384432113913495,,,,,
AROW_CBSH,0.9383991007954754,,,,,
FNLC_TRMK,0.9383681022078347,,,,,
LARK_ONB,0.9382998922338998,,,,,
ICFI_WERN,0.9381712972122149,,,,,
EA_ITIC,0.9380979982337291,,,,,
EBTC_FCCO,0.9380937756831909,,,,,
ICFI_SBUX,0.9380233159236707,,,,,
LMAT_WERN,0.9378068436926634,,,,,
FCCO_NTRS,0.9375162010790771,,,,,
BOKF_CIVB,0.9374030711676499,,,,,
MVIS_USAU,0.9373789642182034,,,,,
CIVB_TRMK,0.9373724650461163,,,,,
CGO_WERN,0.9370439540433585,,,,,
BRKL_FCCO,0.9370371339787122,,,,,
HFWA_TRMK,0.9369154877467694,,,,,
ARWR_MTCH,0.9368110898130326,,,,,
EFSC_NATH,0.9367387143343535,,,,,
ITIC_PFC,0.9366603834885159,,,,,
AROW_FNLC,0.9366598122362808,,,,,
EXLS_LMAT,0.9364911681495351,,,,,
HFWA_PFC,0.9364031363847674,,,,,
LMAT_SBUX,0.9362754829147715,,,,,
CHI_SCVL,0.9358336945417107,,,,,
CCOI_ITIC,0.9353198492533852,,,,,
FBIZ_IMKTA,0.9353070013445822,,,,,
FCCO_HBNC,0.9352344133656888,,,,,
INTU_PSEC,0.9351388059126629,,,,,
