stock pair,all-fundamental-variables,cogs-margin,ebtda-margin,eps-earnings-per-share-diluted
CHI_CSWC,0.9566722936438736,0.9566722936438736,0.9566722936438736,0.9566722936438736
CGO_CHI,0.9475397631615128,0.9475397631615128,0.9475397631615128,0.9475397631615128
CGO_HSKA,0.9421275411675276,0.9421275411675276,0.9421275411675276,0.9421275411675276
CPSS_ECPG,0.9014941944515048,0.9014941944515048,0.9014941944515048,0.9014941944515048
CHI_HSKA,0.9012818661637458,0.9012818661637458,0.9012818661637458,0.9012818661637458
CSWC_HSKA,0.8845960659030138,0.8845960659030138,0.8845960659030138,0.8845960659030138
CGO_CSWC,0.8779884643648909,0.8779884643648909,0.8779884643648909,0.8779884643648909
ARWR_CGO,0.8745170101307046,0.8745170101307046,0.8745170101307046,0.8745170101307046
CSWC_DHIL,0.8683135911270939,0.8683135911270939,0.8683135911270939,0.8683135911270939
ARWR_CHI,0.8537908469407435,0.8537908469407435,0.8537908469407435,0.8537908469407435
CHI_DHIL,0.8253210436607453,0.8253210436607453,0.8253210436607453,0.8253210436607453
ARWR_HSKA,0.7960866133300202,0.7960866133300202,0.7960866133300202,0.7960866133300202
DHIL_HSKA,0.7880140546805967,0.7880140546805967,0.7880140546805967,0.7880140546805967
CHI_ECPG,0.7879848216554309,0.7879848216554309,0.7879848216554309,0.7879848216554309
BGCP_DHIL,0.7727213604444676,0.7727213604444676,0.7727213604444676,0.7727213604444676
ARWR_CSWC,0.768434699091794,0.768434699091794,0.768434699091794,0.768434699091794
CGO_DHIL,0.7517826223162825,0.7517826223162825,0.7517826223162825,0.7517826223162825
CSWC_LWLG,0.7426574037698054,0.7426574037698054,0.7426574037698054,0.7426574037698054
CHI_LWLG,0.740218086120049,0.740218086120049,0.740218086120049,0.740218086120049
CSWC_ECPG,0.7362592108856844,0.7362592108856844,0.7362592108856844,0.7362592108856844
CPSS_CSWC,0.717324591255794,0.717324591255794,0.717324591255794,0.717324591255794
CGO_ECPG,0.715404434540407,0.715404434540407,0.715404434540407,0.715404434540407
DHIL_ECPG,0.6983268868316634,0.6983268868316634,0.6983268868316634,0.6983268868316634
CSWC_OXSQ,0.6921843336799252,0.6921843336799252,0.6921843336799252,0.6921843336799252
CHI_CPSS,0.6896796221753002,0.6896796221753002,0.6896796221753002,0.6896796221753002
CPSS_LWLG,0.6881556792701765,0.6881556792701765,0.6881556792701765,0.6881556792701765
CPSS_DHIL,0.6872947285899647,0.6872947285899647,0.6872947285899647,0.6872947285899647
BGCP_HSKA,0.6793601691611739,0.6793601691611739,0.6793601691611739,0.6793601691611739
BGCP_OXSQ,0.6778144771102348,0.6778144771102348,0.6778144771102348,0.6778144771102348
ECPG_LWLG,0.6742801284043064,0.6742801284043064,0.6742801284043064,0.6742801284043064
DHIL_OXSQ,0.667115271261895,0.667115271261895,0.667115271261895,0.667115271261895
BGCP_CGO,0.6506678901100419,0.6506678901100419,0.6506678901100419,0.6506678901100419
CGO_LWLG,0.6491952834545948,0.6491952834545948,0.6491952834545948,0.6491952834545948
HSKA_LWLG,0.6463486261401303,0.6463486261401303,0.6463486261401303,0.6463486261401303
ECPG_PRAA,0.6426584338634252,0.6426584338634252,0.6426584338634252,0.6426584338634252
HSKA_OXSQ,0.6324649779647548,0.6324649779647548,0.6324649779647548,0.6324649779647548
BGCP_CSWC,0.5987578420933148,0.5987578420933148,0.5987578420933148,0.5987578420933148
CGO_OXSQ,0.5910409398129062,0.5910409398129062,0.5910409398129062,0.5910409398129062
CHI_OXSQ,0.5797637409644918,0.5797637409644918,0.5797637409644918,0.5797637409644918
ECPG_HSKA,0.5727066778507037,0.5727066778507037,0.5727066778507037,0.5727066778507037
DHIL_LWLG,0.5699913539305853,0.5699913539305853,0.5699913539305853,0.5699913539305853
BGCP_CHI,0.5427033296512777,0.5427033296512777,0.5427033296512777,0.5427033296512777
ECPG_OXSQ,0.5346803065230704,0.5346803065230704,0.5346803065230704,0.5346803065230704
APTO_PALI,0.5258315553052891,0.5258315553052891,0.5258315553052891,0.5258315553052891
ARWR_ECPG,0.5240308773694922,0.5240308773694922,0.5240308773694922,0.5240308773694922
CGO_CPSS,0.5229473415553093,0.5229473415553093,0.5229473415553093,0.5229473415553093
ARWR_DHIL,0.5207033271181079,0.5207033271181079,0.5207033271181079,0.5207033271181079
ARWR_LWLG,0.5011989150058904,0.5011989150058904,0.5011989150058904,0.5011989150058904
